Year,Make,Model,Fuel-type
2014,NISSAN,LEAF,PLUGIN PETROL HYBRID
2015,NISSAN,LEAF,ELECTRIC
2015,NISSAN,LEAF,PLUGIN PETROL HYBRID
2016,NISSAN,LEAF,ELECTRIC
2016,NISSAN,LEAF,PLUGIN PETROL HYBRID
2017,NISSAN,LEAF,ELECTRIC
2018,NISSAN,LEAF,ELECTRIC
2018,NISSAN,LEAF,PETROL HYBRID
2019,NISSAN,LEAF,ELECTRIC
2020,NISSAN,LEAF,ELECTRIC
2021,NISSAN,LEAF,ELECTRIC
2022,NISSAN,LEAF,ELECTRIC
2010,NISSAN,MARCH,PETROL HYBRID
2014,NISSAN,MARCH,PETROL HYBRID
2016,NISSAN,MARCH,PETROL HYBRID
2013,NISSAN,MURANO,PETROL HYBRID
2014,NISSAN,NOTE,PETROL HYBRID
2015,NISSAN,NOTE,PETROL ELECTRIC HYBRID
2015,NISSAN,NOTE,PETROL HYBRID
2016,NISSAN,NOTE,ELECTRIC [PETROL EXTENDED]
2016,NISSAN,NOTE,PETROL ELECTRIC HYBRID
2016,NISSAN,NOTE,PETROL HYBRID
2017,NISSAN,NOTE,ELECTRIC
2017,NISSAN,NOTE,ELECTRIC [PETROL EXTENDED]
2017,NISSAN,NOTE,PETROL ELECTRIC HYBRID
2017,NISSAN,NOTE,PETROL HYBRID
2018,NISSAN,NOTE,ELECTRIC [PETROL EXTENDED]
2018,NISSAN,NOTE,PETROL ELECTRIC HYBRID
2018,NISSAN,NOTE,PETROL HYBRID
2018,NISSAN,NOTE,PLUGIN PETROL HYBRID
2019,NISSAN,NOTE,ELECTRIC
2019,NISSAN,NOTE,ELECTRIC [PETROL EXTENDED]
2019,NISSAN,NOTE,PETROL ELECTRIC HYBRID
2019,NISSAN,NOTE,PETROL HYBRID
2020,NISSAN,NOTE,PETROL ELECTRIC HYBRID
2020,NISSAN,NOTE,PETROL HYBRID
2021,NISSAN,NOTE,PETROL ELECTRIC HYBRID
2021,NISSAN,NOTE,PETROL HYBRID
2022,NISSAN,NOTE,PETROL HYBRID
2014,NISSAN,NV200,ELECTRIC
2015,NISSAN,NV200,ELECTRIC
2016,NISSAN,NV200,ELECTRIC
2017,NISSAN,NV200,ELECTRIC
2014,NISSAN,PATHFINDER,PETROL HYBRID
2015,NISSAN,PATHFINDER,PETROL HYBRID
2016,NISSAN,PATHFINDER,PETROL HYBRID
2012,NISSAN,SERENA,PETROL ELECTRIC HYBRID
2012,NISSAN,SERENA,PETROL HYBRID
2013,NISSAN,SERENA,PETROL ELECTRIC HYBRID
2013,NISSAN,SERENA,PETROL HYBRID
2014,NISSAN,SERENA,PETROL HYBRID
2015,NISSAN,SERENA,PETROL HYBRID
2016,NISSAN,SERENA,PETROL HYBRID
2017,NISSAN,SERENA,PETROL HYBRID
2018,NISSAN,SERENA,PETROL ELECTRIC HYBRID
2018,NISSAN,SERENA,PETROL HYBRID
2019,NISSAN,SERENA,PETROL HYBRID
2020,NISSAN,SERENA,PETROL HYBRID
2021,NISSAN,SERENA,PETROL HYBRID
2014,NISSAN,SKYLINE,PETROL HYBRID
2015,NISSAN,SKYLINE,PETROL ELECTRIC HYBRID
2015,NISSAN,SKYLINE,PETROL HYBRID
2016,NISSAN,SKYLINE,PETROL ELECTRIC HYBRID
2016,NISSAN,SKYLINE,PETROL HYBRID
2017,NISSAN,SKYLINE,PETROL HYBRID
2018,NISSAN,SKYLINE,PETROL HYBRID
2005,NISSAN,TIIDA,PETROL HYBRID
2007,NISSAN,TIIDA,PETROL HYBRID
2008,NISSAN,TIIDA,PETROL HYBRID
2010,NISSAN,TIIDA,PETROL HYBRID
2015,NISSAN,VANETTE,ELECTRIC
2017,NISSAN,VANETTE,ELECTRIC
2013,NISSAN,WINGROAD,PETROL HYBRID
2007,NISSAN,X-TRAIL,PETROL HYBRID
2013,NISSAN,X-TRAIL,PETROL HYBRID
2015,NISSAN,X-TRAIL,PETROL ELECTRIC HYBRID
2015,NISSAN,X-TRAIL,PETROL HYBRID
2016,NISSAN,X-TRAIL,PETROL HYBRID
2017,NISSAN,X-TRAIL,PETROL HYBRID
2018,NISSAN,X-TRAIL,PETROL ELECTRIC HYBRID
2018,NISSAN,X-TRAIL,PETROL HYBRID
2019,NISSAN,X-TRAIL,PETROL HYBRID
2020,NISSAN,X-TRAIL,PETROL HYBRID
2021,NISSAN,X-TRAIL,PETROL HYBRID
2020,PEUGEOT,2008,ELECTRIC
2021,PEUGEOT,2008,ELECTRIC
2022,PEUGEOT,2008,ELECTRIC
2020,PEUGEOT,208,ELECTRIC
2021,PEUGEOT,208,ELECTRIC
2022,PEUGEOT,208,ELECTRIC
2012,PEUGEOT,3008,DIESEL HYBRID
2013,PEUGEOT,3008,DIESEL HYBRID
2014,PEUGEOT,3008,DIESEL HYBRID
2015,PEUGEOT,3008,DIESEL HYBRID
2016,PEUGEOT,3008,DIESEL HYBRID
2021,PEUGEOT,3008,PLUGIN PETROL HYBRID
2022,PEUGEOT,3008,PLUGIN PETROL HYBRID
2013,PEUGEOT,508,DIESEL HYBRID
2014,PEUGEOT,508,DIESEL HYBRID
2015,PEUGEOT,508,DIESEL HYBRID
2016,PEUGEOT,508,DIESEL HYBRID
2020,PEUGEOT,E-208,ELECTRIC
2021,PEUGEOT,EXPERT,ELECTRIC
2012,PEUGEOT,ION,ELECTRIC
2021,POLESTAR,POLESTAR 2,ELECTRIC
2022,POLESTAR,POLESTAR 2,ELECTRIC
2010,PORSCHE,CAYENNE,PETROL HYBRID
2011,PORSCHE,CAYENNE,PETROL HYBRID
2012,PORSCHE,CAYENNE,PETROL HYBRID
2013,PORSCHE,CAYENNE,PETROL HYBRID
2015,PORSCHE,CAYENNE,PLUGIN PETROL HYBRID
2016,PORSCHE,CAYENNE,PLUGIN PETROL HYBRID
2017,PORSCHE,CAYENNE,PLUGIN PETROL HYBRID
2018,PORSCHE,CAYENNE,PLUGIN PETROL HYBRID
2019,PORSCHE,CAYENNE,PETROL HYBRID
2019,PORSCHE,CAYENNE,PLUGIN PETROL HYBRID
2020,PORSCHE,CAYENNE,PLUGIN PETROL HYBRID
2021,PORSCHE,CAYENNE,PLUGIN PETROL HYBRID
2022,PORSCHE,CAYENNE,PLUGIN PETROL HYBRID
2011,PORSCHE,PANAMERA,PETROL HYBRID
2012,PORSCHE,PANAMERA,PETROL HYBRID
2014,PORSCHE,PANAMERA,PLUGIN PETROL HYBRID
2017,PORSCHE,PANAMERA,PLUGIN PETROL HYBRID
2018,PORSCHE,PANAMERA,PLUGIN PETROL HYBRID
2019,PORSCHE,PANAMERA,ELECTRIC [PETROL EXTENDED]
2019,PORSCHE,PANAMERA,PETROL ELECTRIC HYBRID
2019,PORSCHE,PANAMERA,PETROL HYBRID
2019,PORSCHE,PANAMERA,PLUGIN PETROL HYBRID
2020,PORSCHE,PANAMERA,PLUGIN PETROL HYBRID
2021,PORSCHE,PANAMERA,PLUGIN PETROL HYBRID
2022,PORSCHE,PANAMERA,PLUGIN PETROL HYBRID
2015,PORSCHE,SPYDER,PLUGIN PETROL HYBRID
2020,PORSCHE,TAYCAN,ELECTRIC
2021,PORSCHE,TAYCAN,ELECTRIC
2022,PORSCHE,TAYCAN,ELECTRIC
2020,RENAULT,KANGOO,ELECTRIC
2021,RENAULT,KANGOO,ELECTRIC
2005,RENAULT,MEGANE CC,PETROL HYBRID
2015,RENAULT,ZOE,ELECTRIC
2016,RENAULT,ZOE,ELECTRIC
2017,RENAULT,ZOE,ELECTRIC
2018,RENAULT,ZOE,ELECTRIC
2019,RENAULT,ZOE,ELECTRIC
2020,RENAULT,ZOE,ELECTRIC
2021,RENAULT,ZOE,ELECTRIC
2022,RENAULT,ZOE,ELECTRIC
1993,ROVER,MINI,ELECTRIC
2021,SEAT,LEON,PETROL HYBRID
2022,SEAT,LEON,PETROL HYBRID
2021,SKODA,ENYAQ,ELECTRIC
2021,SKODA,OCTAVIA,PLUGIN PETROL HYBRID
2022,SKODA,OCTAVIA,PETROL HYBRID
2022,SKODA,OCTAVIA,PLUGIN PETROL HYBRID
2020,SKODA,SUPERB,PLUGIN PETROL HYBRID
2021,SKODA,SUPERB,PLUGIN PETROL HYBRID
2022,SKODA,SUPERB,PLUGIN PETROL HYBRID
2009,SMART,FORTWO,PETROL HYBRID
2012,SMART,FORTWO,ELECTRIC
2012,SMART,FORTWO,PETROL HYBRID
2013,SMART,FORTWO,ELECTRIC
2014,SMART,FORTWO,ELECTRIC
2015,SMART,FORTWO,ELECTRIC
2016,SMART,FORTWO,ELECTRIC
2017,SMART,FORTWO,ELECTRIC
2018,SMART,FORTWO,ELECTRIC
2009,SUBARU,FORESTER,PETROL HYBRID
2019,SUBARU,FORESTER,PETROL HYBRID
2020,SUBARU,FORESTER,PETROL HYBRID
2021,SUBARU,FORESTER,PETROL HYBRID
2022,SUBARU,FORESTER,PETROL HYBRID
2010,SUBARU,IMPREZA,PETROL HYBRID
2012,SUBARU,IMPREZA,PETROL HYBRID
2013,SUBARU,IMPREZA,PETROL ELECTRIC HYBRID
2013,SUBARU,IMPREZA,PETROL HYBRID
2014,SUBARU,IMPREZA,PETROL ELECTRIC HYBRID
2014,SUBARU,IMPREZA,PETROL HYBRID
2015,SUBARU,IMPREZA,PETROL ELECTRIC HYBRID
2015,SUBARU,IMPREZA,PETROL HYBRID
2016,SUBARU,IMPREZA,PETROL HYBRID
2017,SUBARU,IMPREZA,PETROL HYBRID
2018,SUBARU,IMPREZA,PETROL HYBRID
2019,SUBARU,IMPREZA,PETROL HYBRID
2020,SUBARU,IMPREZA,PETROL HYBRID
2005,SUBARU,LEGACY,PETROL HYBRID
2007,SUBARU,LEGACY,DIESEL ELECTRIC HYBRID
2008,SUBARU,LEGACY,PETROL HYBRID
2013,SUBARU,LEGACY,PETROL HYBRID
2012,SUBARU,OUTBACK,PETROL HYBRID
2012,SUBARU,XV,PETROL HYBRID
2013,SUBARU,XV,PETROL ELECTRIC HYBRID
2013,SUBARU,XV,PETROL HYBRID
2014,SUBARU,XV,PETROL ELECTRIC HYBRID
2014,SUBARU,XV,PETROL HYBRID
2015,SUBARU,XV,PETROL ELECTRIC HYBRID
2015,SUBARU,XV,PETROL HYBRID
2016,SUBARU,XV,PETROL HYBRID
2017,SUBARU,XV,PETROL HYBRID
2020,SUBARU,XV,PETROL HYBRID
2021,SUBARU,XV,PETROL HYBRID
2022,SUBARU,XV,PETROL HYBRID
1987,SUZUKI,ALTO,ELECTRIC
2008,SUZUKI,ESCUDO,PETROL HYBRID
2015,SUZUKI,HUSTLER,PETROL HYBRID
2010,SUZUKI,IGNIS,PETROL HYBRID
2016,SUZUKI,IGNIS,PETROL ELECTRIC HYBRID
2016,SUZUKI,IGNIS,PETROL HYBRID
2017,SUZUKI,IGNIS,PETROL HYBRID
2018,SUZUKI,IGNIS,PETROL HYBRID
2019,SUZUKI,IGNIS,PETROL HYBRID
2020,SUZUKI,IGNIS,PETROL HYBRID
2012,SUZUKI,LANDY,PETROL HYBRID
2013,SUZUKI,LANDY,PETROL HYBRID
2014,SUZUKI,LANDY,PETROL HYBRID
2015,SUZUKI,LANDY,PETROL HYBRID
2016,SUZUKI,LANDY,PETROL HYBRID
2015,SUZUKI,SOLIO,PETROL HYBRID
2016,SUZUKI,SOLIO,PETROL HYBRID
2017,SUZUKI,SOLIO,PETROL HYBRID
2006,SUZUKI,SWIFT,PETROL HYBRID
2007,SUZUKI,SWIFT,PETROL HYBRID
2011,SUZUKI,SWIFT,PETROL HYBRID
2013,SUZUKI,SWIFT,PETROL HYBRID
2014,SUZUKI,SWIFT,PETROL HYBRID
2017,SUZUKI,SWIFT,PETROL ELECTRIC HYBRID
2017,SUZUKI,SWIFT,PETROL HYBRID
2018,SUZUKI,SWIFT,PETROL ELECTRIC HYBRID
2018,SUZUKI,SWIFT,PETROL HYBRID
2019,SUZUKI,SWIFT,PETROL ELECTRIC HYBRID
2019,SUZUKI,SWIFT,PETROL HYBRID
2020,SUZUKI,SWIFT,PETROL ELECTRIC HYBRID
2020,SUZUKI,SWIFT,PETROL HYBRID
2020,SUZUKI,SWIFT,PLUGIN PETROL HYBRID
2021,SUZUKI,SWIFT,PETROL HYBRID
2022,SUZUKI,SWIFT,PETROL HYBRID
2018,SUZUKI,WAGON R+,PETROL HYBRID
2019,SUZUKI,WAGON R+,PETROL HYBRID
2019,TESLA,MODEL 3,ELECTRIC
2020,TESLA,MODEL 3,ELECTRIC
2021,TESLA,MODEL 3,ELECTRIC
2022,TESLA,MODEL 3,ELECTRIC
2014,TESLA,MODEL S,ELECTRIC
2015,TESLA,MODEL S,ELECTRIC
2016,TESLA,MODEL S,ELECTRIC
2017,TESLA,MODEL S,ELECTRIC
2018,TESLA,MODEL S,ELECTRIC
2019,TESLA,MODEL S,ELECTRIC
2020,TESLA,MODEL S,ELECTRIC
2021,TESLA,MODEL S,ELECTRIC
2017,TESLA,MODEL X,ELECTRIC
2018,TESLA,MODEL X,ELECTRIC
2019,TESLA,MODEL X,ELECTRIC
2020,TESLA,MODEL X,ELECTRIC
2021,TESLA,MODEL X,ELECTRIC
2022,TESLA,MODEL Y,ELECTRIC
2012,TESLA,ROADSTER,ELECTRIC
2003,TOYOTA,ALPHARD,PETROL HYBRID
2004,TOYOTA,ALPHARD,ELECTRIC
2004,TOYOTA,ALPHARD,PETROL ELECTRIC HYBRID
2004,TOYOTA,ALPHARD,PETROL HYBRID
2005,TOYOTA,ALPHARD,PETROL ELECTRIC HYBRID
2005,TOYOTA,ALPHARD,PETROL HYBRID
2006,TOYOTA,ALPHARD,PETROL ELECTRIC HYBRID
2006,TOYOTA,ALPHARD,PETROL HYBRID
2007,TOYOTA,ALPHARD,PETROL ELECTRIC HYBRID
2007,TOYOTA,ALPHARD,PETROL HYBRID
2008,TOYOTA,ALPHARD,PETROL ELECTRIC HYBRID
2008,TOYOTA,ALPHARD,PETROL HYBRID
2009,TOYOTA,ALPHARD,PETROL HYBRID
2010,TOYOTA,ALPHARD,PETROL HYBRID
2011,TOYOTA,ALPHARD,PETROL HYBRID
2012,TOYOTA,ALPHARD,PETROL ELECTRIC HYBRID
2012,TOYOTA,ALPHARD,PETROL HYBRID
2013,TOYOTA,ALPHARD,PETROL HYBRID
2014,TOYOTA,ALPHARD,PETROL HYBRID
2015,TOYOTA,ALPHARD,PETROL HYBRID
2016,TOYOTA,ALPHARD,PETROL ELECTRIC HYBRID
2016,TOYOTA,ALPHARD,PETROL HYBRID
2017,TOYOTA,ALPHARD,PETROL HYBRID
2018,TOYOTA,ALPHARD,PETROL HYBRID
2019,TOYOTA,ALPHARD,PETROL HYBRID
2020,TOYOTA,ALPHARD,PETROL HYBRID
2021,TOYOTA,ALPHARD,PETROL HYBRID
2013,TOYOTA,ALTIS,PETROL HYBRID
2010,TOYOTA,AQUA,PETROL HYBRID
2011,TOYOTA,AQUA,PETROL HYBRID
2012,TOYOTA,AQUA,PETROL ELECTRIC HYBRID
2012,TOYOTA,AQUA,PETROL HYBRID
2013,TOYOTA,AQUA,ELECTRIC
2013,TOYOTA,AQUA,PETROL ELECTRIC HYBRID
2013,TOYOTA,AQUA,PETROL HYBRID
2014,TOYOTA,AQUA,PETROL ELECTRIC HYBRID
2014,TOYOTA,AQUA,PETROL HYBRID
2014,TOYOTA,AQUA,PLUGIN PETROL HYBRID
2015,TOYOTA,AQUA,PETROL ELECTRIC HYBRID
2015,TOYOTA,AQUA,PETROL HYBRID
2016,TOYOTA,AQUA,PETROL ELECTRIC HYBRID
2016,TOYOTA,AQUA,PETROL HYBRID
2017,TOYOTA,AQUA,PETROL ELECTRIC HYBRID
2017,TOYOTA,AQUA,PETROL HYBRID
2018,TOYOTA,AQUA,PETROL HYBRID
2019,TOYOTA,AQUA,PETROL HYBRID
2020,TOYOTA,AQUA,PETROL HYBRID
2007,TOYOTA,AURIS,PETROL HYBRID
2009,TOYOTA,AURIS,PETROL HYBRID
2011,TOYOTA,AURIS,PETROL HYBRID
2012,TOYOTA,AURIS,PETROL HYBRID
2013,TOYOTA,AURIS,PETROL HYBRID
2014,TOYOTA,AURIS,PETROL HYBRID
2015,TOYOTA,AURIS,PETROL HYBRID
2016,TOYOTA,AURIS,PETROL ELECTRIC HYBRID
2016,TOYOTA,AURIS,PETROL HYBRID
2017,TOYOTA,AURIS,PETROL ELECTRIC HYBRID
2017,TOYOTA,AURIS,PETROL HYBRID
2018,TOYOTA,AURIS,PETROL HYBRID
2012,TOYOTA,AVENSIS,PETROL HYBRID
2014,TOYOTA,AVENSIS,PETROL HYBRID
2013,TOYOTA,AXIO,PETROL HYBRID
2014,TOYOTA,AXIO,PETROL HYBRID
2015,TOYOTA,AXIO,PETROL HYBRID
2016,TOYOTA,AXIO,PETROL HYBRID
2017,TOYOTA,AXIO,PETROL HYBRID
2007,TOYOTA,BLADE,PETROL HYBRID
2008,TOYOTA,BLADE,PETROL HYBRID
2011,TOYOTA,BLADE,PETROL HYBRID
2016,TOYOTA,C-HR,PETROL ELECTRIC HYBRID
2016,TOYOTA,C-HR,PETROL HYBRID
2017,TOYOTA,C-HR,PETROL ELECTRIC HYBRID
2017,TOYOTA,C-HR,PETROL HYBRID
2018,TOYOTA,C-HR,PETROL ELECTRIC HYBRID
2018,TOYOTA,C-HR,PETROL HYBRID
2019,TOYOTA,C-HR,PETROL HYBRID
2020,TOYOTA,C-HR,PETROL HYBRID
2021,TOYOTA,C-HR,PETROL HYBRID
2022,TOYOTA,C-HR,PETROL HYBRID
2008,TOYOTA,CAMRY,PETROL HYBRID
2009,TOYOTA,CAMRY,PETROL HYBRID
2010,TOYOTA,CAMRY,PETROL HYBRID
2011,TOYOTA,CAMRY,PETROL HYBRID
2012,TOYOTA,CAMRY,PETROL ELECTRIC HYBRID
2012,TOYOTA,CAMRY,PETROL HYBRID
2013,TOYOTA,CAMRY,PETROL ELECTRIC HYBRID
2013,TOYOTA,CAMRY,PETROL HYBRID
2014,TOYOTA,CAMRY,ELECTRIC
2014,TOYOTA,CAMRY,PETROL ELECTRIC HYBRID
2014,TOYOTA,CAMRY,PETROL HYBRID
2015,TOYOTA,CAMRY,PETROL ELECTRIC HYBRID
2015,TOYOTA,CAMRY,PETROL HYBRID
2016,TOYOTA,CAMRY,PETROL ELECTRIC HYBRID
2016,TOYOTA,CAMRY,PETROL HYBRID
2017,TOYOTA,CAMRY,PETROL ELECTRIC HYBRID
2017,TOYOTA,CAMRY,PETROL HYBRID
2018,TOYOTA,CAMRY,PETROL HYBRID
2019,TOYOTA,CAMRY,PETROL HYBRID
2020,TOYOTA,CAMRY,PETROL HYBRID
2021,TOYOTA,CAMRY,PETROL HYBRID
2022,TOYOTA,CAMRY,PETROL HYBRID
1994,TOYOTA,CELICA,ELECTRIC
1993,TOYOTA,CERES,ELECTRIC
2004,TOYOTA,COROLLA,PETROL HYBRID
2007,TOYOTA,COROLLA,PETROL HYBRID
2008,TOYOTA,COROLLA,PETROL HYBRID
2011,TOYOTA,COROLLA,PETROL HYBRID
2012,TOYOTA,COROLLA,PETROL HYBRID
2013,TOYOTA,COROLLA,ELECTRIC
2013,TOYOTA,COROLLA,PETROL ELECTRIC HYBRID
2013,TOYOTA,COROLLA,PETROL HYBRID
2014,TOYOTA,COROLLA,PETROL ELECTRIC HYBRID
2014,TOYOTA,COROLLA,PETROL HYBRID
2015,TOYOTA,COROLLA,PETROL ELECTRIC HYBRID
2015,TOYOTA,COROLLA,PETROL HYBRID
2016,TOYOTA,COROLLA,PETROL ELECTRIC HYBRID
2016,TOYOTA,COROLLA,PETROL HYBRID
2017,TOYOTA,COROLLA,PETROL HYBRID
2018,TOYOTA,COROLLA,PETROL ELECTRIC HYBRID
2018,TOYOTA,COROLLA,PETROL HYBRID
2019,TOYOTA,COROLLA,PETROL HYBRID
2020,TOYOTA,COROLLA,PETROL HYBRID
2021,TOYOTA,COROLLA,PETROL HYBRID
2022,TOYOTA,COROLLA,PETROL HYBRID
2004,TOYOTA,CROWN,PETROL HYBRID
2006,TOYOTA,CROWN,PETROL HYBRID
2008,TOYOTA,CROWN,PETROL ELECTRIC HYBRID
2008,TOYOTA,CROWN,PETROL HYBRID
2009,TOYOTA,CROWN,PETROL ELECTRIC HYBRID
2009,TOYOTA,CROWN,PETROL HYBRID
2010,TOYOTA,CROWN,PETROL HYBRID
2011,TOYOTA,CROWN,PETROL HYBRID
2012,TOYOTA,CROWN,PETROL HYBRID
2013,TOYOTA,CROWN,PETROL HYBRID
2014,TOYOTA,CROWN,PETROL HYBRID
2015,TOYOTA,CROWN,PETROL HYBRID
2016,TOYOTA,CROWN,PETROL HYBRID
2018,TOYOTA,CROWN,PETROL HYBRID
2019,TOYOTA,CROWN,PETROL HYBRID
2000,TOYOTA,ECHO,ELECTRIC
2003,TOYOTA,ECHO,PETROL HYBRID
2014,TOYOTA,ESQUIRE,PETROL HYBRID
2016,TOYOTA,ESQUIRE,PETROL HYBRID
2000,TOYOTA,ESTIMA,PETROL HYBRID
2001,TOYOTA,ESTIMA,PETROL HYBRID
2002,TOYOTA,ESTIMA,PETROL HYBRID
2003,TOYOTA,ESTIMA,PETROL HYBRID
2004,TOYOTA,ESTIMA,PETROL ELECTRIC HYBRID
2004,TOYOTA,ESTIMA,PETROL HYBRID
2005,TOYOTA,ESTIMA,PETROL ELECTRIC HYBRID
2005,TOYOTA,ESTIMA,PETROL HYBRID
2006,TOYOTA,ESTIMA,PETROL ELECTRIC HYBRID
2006,TOYOTA,ESTIMA,PETROL HYBRID
2007,TOYOTA,ESTIMA,PETROL ELECTRIC HYBRID
2007,TOYOTA,ESTIMA,PETROL HYBRID
2008,TOYOTA,ESTIMA,PETROL ELECTRIC HYBRID
2008,TOYOTA,ESTIMA,PETROL HYBRID
2009,TOYOTA,ESTIMA,PETROL ELECTRIC HYBRID
2009,TOYOTA,ESTIMA,PETROL HYBRID
2010,TOYOTA,ESTIMA,PETROL ELECTRIC HYBRID
2010,TOYOTA,ESTIMA,PETROL HYBRID
2011,TOYOTA,ESTIMA,PETROL ELECTRIC HYBRID
2011,TOYOTA,ESTIMA,PETROL HYBRID
2012,TOYOTA,ESTIMA,PETROL ELECTRIC HYBRID
2012,TOYOTA,ESTIMA,PETROL HYBRID
2013,TOYOTA,ESTIMA,PETROL ELECTRIC HYBRID
2013,TOYOTA,ESTIMA,PETROL HYBRID
2014,TOYOTA,ESTIMA,PETROL HYBRID
2015,TOYOTA,ESTIMA,PETROL HYBRID
2016,TOYOTA,ESTIMA,PETROL HYBRID
2017,TOYOTA,ESTIMA,PETROL HYBRID
2013,TOYOTA,FIELDER,PETROL ELECTRIC HYBRID
2013,TOYOTA,FIELDER,PETROL HYBRID
2014,TOYOTA,FIELDER,PETROL ELECTRIC HYBRID
2014,TOYOTA,FIELDER,PETROL HYBRID
2015,TOYOTA,FIELDER,PETROL HYBRID
2016,TOYOTA,FIELDER,PETROL HYBRID
2017,TOYOTA,FIELDER,PETROL HYBRID
2014,TOYOTA,FJ,PETROL HYBRID
2005,TOYOTA,HARRIER,PETROL ELECTRIC HYBRID
2005,TOYOTA,HARRIER,PETROL HYBRID
2006,TOYOTA,HARRIER,ELECTRIC [PETROL EXTENDED]
2006,TOYOTA,HARRIER,PETROL ELECTRIC HYBRID
2006,TOYOTA,HARRIER,PETROL HYBRID
2007,TOYOTA,HARRIER,PETROL HYBRID
2008,TOYOTA,HARRIER,PETROL HYBRID
2009,TOYOTA,HARRIER,PETROL ELECTRIC HYBRID
2009,TOYOTA,HARRIER,PETROL HYBRID
2010,TOYOTA,HARRIER,PETROL HYBRID
2011,TOYOTA,HARRIER,PETROL ELECTRIC HYBRID
2011,TOYOTA,HARRIER,PETROL HYBRID
2012,TOYOTA,HARRIER,PETROL HYBRID
2014,TOYOTA,HARRIER,PETROL HYBRID
2015,TOYOTA,HARRIER,PETROL HYBRID
2016,TOYOTA,HARRIER,PETROL HYBRID
2018,TOYOTA,HARRIER,PETROL HYBRID
2019,TOYOTA,HARRIER,PETROL HYBRID
2021,TOYOTA,HARRIER,PETROL HYBRID
2022,TOYOTA,HARRIER,PETROL HYBRID
2018,TOYOTA,HIACE,DIESEL ELECTRIC HYBRID
2020,TOYOTA,HIGHLANDER,PETROL HYBRID
2021,TOYOTA,HIGHLANDER,PETROL HYBRID
2022,TOYOTA,HIGHLANDER,PETROL HYBRID
2008,TOYOTA,IQ,PETROL HYBRID
2005,TOYOTA,KLUGER,PETROL ELECTRIC HYBRID
2005,TOYOTA,KLUGER,PETROL HYBRID
2006,TOYOTA,KLUGER,PETROL ELECTRIC HYBRID
2006,TOYOTA,KLUGER,PETROL HYBRID
2007,TOYOTA,KLUGER,PETROL HYBRID
2005,TOYOTA,LEXUS,PETROL HYBRID
2006,TOYOTA,LEXUS,PETROL HYBRID
2007,TOYOTA,LEXUS,PETROL HYBRID
2008,TOYOTA,LEXUS,PETROL HYBRID
2009,TOYOTA,LEXUS,PETROL HYBRID
2010,TOYOTA,LEXUS,PETROL HYBRID
2011,TOYOTA,LEXUS,PETROL HYBRID
2012,TOYOTA,LEXUS,PETROL ELECTRIC HYBRID
2012,TOYOTA,LEXUS,PETROL HYBRID
2013,TOYOTA,LEXUS,PETROL HYBRID
2014,TOYOTA,LEXUS,PETROL HYBRID
2015,TOYOTA,LEXUS,PETROL HYBRID
2018,TOYOTA,LEXUS,PETROL HYBRID
2007,TOYOTA,MARKX,PETROL HYBRID
2008,TOYOTA,MARKX,PETROL HYBRID
2016,TOYOTA,MIRAI,ELECTRIC FUEL CELL HYDROGEN
2017,TOYOTA,MIRAI,ELECTRIC FUEL CELL HYDROGEN
2020,TOYOTA,MIRAI,ELECTRIC FUEL CELL HYDROGEN
2022,TOYOTA,MIRAI,ELECTRIC FUEL CELL HYDROGEN
1991,TOYOTA,MR2,ELECTRIC
1992,TOYOTA,MR2,ELECTRIC
2014,TOYOTA,NOAH,PETROL HYBRID
2015,TOYOTA,NOAH,PETROL HYBRID
2016,TOYOTA,NOAH,PETROL HYBRID
2017,TOYOTA,NOAH,PETROL HYBRID
2012,TOYOTA,PORTE,PETROL HYBRID
1998,TOYOTA,PRIUS,PETROL HYBRID
1999,TOYOTA,PRIUS,PETROL HYBRID
2000,TOYOTA,PRIUS,PETROL HYBRID
2001,TOYOTA,PRIUS,PETROL HYBRID
2002,TOYOTA,PRIUS,PETROL HYBRID
2003,TOYOTA,PRIUS,PETROL HYBRID
2004,TOYOTA,PRIUS,PETROL ELECTRIC HYBRID
2004,TOYOTA,PRIUS,PETROL HYBRID
2005,TOYOTA,PRIUS,PETROL ELECTRIC HYBRID
2005,TOYOTA,PRIUS,PETROL HYBRID
2006,TOYOTA,PRIUS,PETROL ELECTRIC HYBRID
2006,TOYOTA,PRIUS,PETROL HYBRID
2007,TOYOTA,PRIUS,PETROL ELECTRIC HYBRID
2007,TOYOTA,PRIUS,PETROL HYBRID
2008,TOYOTA,PRIUS,PETROL ELECTRIC HYBRID
2008,TOYOTA,PRIUS,PETROL HYBRID
2009,TOYOTA,PRIUS,PETROL ELECTRIC HYBRID
2009,TOYOTA,PRIUS,PETROL HYBRID
2010,TOYOTA,PRIUS,PETROL ELECTRIC HYBRID
2010,TOYOTA,PRIUS,PETROL HYBRID
2010,TOYOTA,PRIUS,PLUGIN PETROL HYBRID
2011,TOYOTA,PRIUS,PETROL ELECTRIC HYBRID
2011,TOYOTA,PRIUS,PETROL HYBRID
2012,TOYOTA,PRIUS,PETROL ELECTRIC HYBRID
2012,TOYOTA,PRIUS,PETROL HYBRID
2012,TOYOTA,PRIUS,PLUGIN PETROL HYBRID
2013,TOYOTA,PRIUS,ELECTRIC
2013,TOYOTA,PRIUS,PETROL ELECTRIC HYBRID
2013,TOYOTA,PRIUS,PETROL HYBRID
